name,sqm,year_built,Price(EGP),Price/Sqm,has_main_facilities,has_security_features,has_parking_safety,has_building_facilities,has_other_features,HighFloor,LowFloor,MidFloor,FloorNumber,BuildingNumber,UnitNumber,has_modern,has_facilities,has_green_view,has_water_feature,Bedroom_0,Bedroom_1,Bedroom_2,Bedroom_3,Bedroom_above 3,Bathroom_0,Bathroom_1,Bathroom_2,Bathroom_above 2,city_Cairo,city_Mansoura,city_Mersa Matruh,city_New Administrative Capital,city_New Cairo,city_North Coast,city_Old Cairo,governorate_Alexandria,governorate_Cairo,governorate_Dakahlia,governorate_Matrouh,propertyCategory_Commercial,propertyCategory_Residential,propertySubType_Apartment (Residential - Multi-Story Units),propertySubType_Office,propertySubType_Others(very rare),propertySubType_Residential - Attached Houses,propertySubType_Retail,Is sqm outlier,Is Price/Sqm outlier,Is Price(EGP) outlier,Is BuildingNumber outlier,Is FloorNumber outlier,Is UnitNumber outlier,log(sqm),log(price),log(price/sqm)
Central,199.05,2025,35679000,179246.4205,1,1,0,1,0,0,1,0,2,6,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.293556049446326,17.390072838377492,12.09651678894588
Mazarine Apartment,145.0,2022,9346000,64455.1724,1,1,0,1,1,0,0,1,3,29,2953,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,4.976733742420574,16.05045900224251,11.073725259607938
AlMaqsad Park,155.0,2025,4853000,31309.6774,1,1,0,0,1,0,0,1,7,12,1273,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.043425116919247,15.395107628387354,10.351682510849932
Jade Park,279.0,2025,9977000,35759.8566,1,0,1,1,0,0,0,1,6,3,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.631211781821365,16.115793001895643,10.484581219212297
Alamain (Latin District),133.41,2025,6839000,51263.0238,1,1,0,0,1,0,0,1,7,3,3,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.893427093190715,15.738152080080233,10.844724987643723
Latin City,175.0,2022,6396000,36548.5714,1,1,0,0,1,0,1,0,0,6,630,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.1647859739235145,15.671183352935982,10.50639737823073
PODIA,36.0,2025,11671000,324194.4444,0,1,1,0,1,0,1,0,1,7,121,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False,True,False,False,False,False,3.58351893845611,16.27261769039449,12.68909875180129
Latin City,231.0,2022,7536000,32623.3766,1,1,0,1,1,0,0,1,4,6,658603,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.442417710521793,15.835202095238335,10.392784383999983
Beachfront Tower - B1,217.0,2025,28363000,130705.0691,0,0,0,0,1,1,0,0,23,1,1237,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.37989735354046,17.160596036826263,11.780698683098938
AlMaqsad Park,155.0,2025,4900000,31612.9032,1,1,0,0,1,0,0,1,6,14,1463,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.043425116919247,15.404745763080856,10.361320645345282
Alamain (Latin District),238.7,2025,5749000,24084.6251,1,1,0,0,1,0,0,1,5,13,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.4752075333447845,15.564536484605428,10.089328953238379
Alamain (Latin District),140.56,2025,7206000,51266.3631,1,1,0,0,1,0,1,0,2,3,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.945634443878841,15.790424570290176,10.844790126041643
New Garden City,141.0,2025,6057000,42957.4468,1,1,0,0,0,0,0,1,4,645,64544,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,4.948759890378168,15.616725185963084,10.667965295386798
Latin City,239.0,2022,7797000,32623.431,1,1,0,1,1,0,1,0,2,6,653103,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.476463551931511,15.869249602291736,10.392786051514516
Zahya,413.5,2025,10808000,26137.8476,1,1,0,1,0,0,1,0,0,3,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,True,False,False,False,False,False,6.024657514463746,16.19579715862217,10.171139642548507
Jade Park,225.0,2025,8046000,35760.0,1,0,1,1,0,0,0,1,5,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.41610040220442,15.900685631491871,10.48458522928745
PODIA,105.0,2025,13693000,130409.5238,0,1,1,0,1,1,0,0,11,7,1116,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,False,False,False,False,4.653960350157523,16.43239531131437,11.778434961083818
Downtown commercial,180.0,2025,18486000,102700.0,1,1,0,0,1,0,1,0,0,7,701,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False,False,False,False,False,False,5.19295685089021,16.73252424680686,11.53956739591665
Latin City,238.0,2022,9007000,37844.5378,1,1,0,0,1,0,0,1,6,6,629,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.472270673671475,16.01351261076588,10.541241936694716
AlMaqsad Park,155.0,2025,4900000,31612.9032,1,1,0,0,1,0,0,1,5,6,653,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.043425116919247,15.404745763080856,10.361320645345282
VALORY,51.0,2025,15024192,294592.0,0,1,1,0,1,1,0,0,37,7,58,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,False,True,False,False,True,False,3.9318256327243257,16.52517225990124,12.593346627176913
Alamain (Latin District),239.22,2025,6041000,25252.9053,1,1,0,0,1,0,0,1,6,12,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.477383630621318,15.614080119120878,10.13669648947059
Mamsha Avenue,168.0,2025,5897000,35101.1905,1,1,0,0,1,0,1,0,1,20,20,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.123963979403259,15.58995430498264,10.465990326257693
Mazarine Apartment,252.0,2025,11108000,44079.3651,1,1,0,0,0,0,1,0,1,14,1411,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.223176127408827,10.693747040365535
Latin City,205.0,2025,10965000,53487.8049,0,1,0,0,1,0,0,1,3,3,306301,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.3230099791384085,16.210218939834125,10.887208961106115
Latin City,233.0,2022,8058000,34583.691,0,1,0,1,1,0,1,0,1,6,620103,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.4510384535657,15.902175944733429,10.45113749154003
Downtown Extension,251.0,2022,8447000,33653.3865,1,1,0,1,1,0,0,1,4,11,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.5254529391317835,15.949321906709633,10.42386896893928
Latin City,231.0,2022,7536000,32623.3766,1,1,0,1,1,0,0,1,5,6,658503,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.442417710521793,15.835202095238335,10.392784383999983
Central,116.97,2025,23441000,200401.8124,1,1,0,1,0,0,0,1,3,6,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,4.761917491662616,16.969997183879126,12.208079692064127
Mamsha Avenue,392.0,2025,12179000,31068.8776,1,1,0,0,1,0,0,1,5,20,20,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,True,False,False,False,False,False,5.971261839790462,16.315223715069248,10.34396187685527
Central,179.3,2025,38617000,215376.464,1,1,0,1,0,0,0,1,3,7,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.189060380611087,17.46920315198883,12.280142771253443
Latin City,247.0,2022,10076000,40793.5223,0,1,0,1,1,0,1,0,1,6,615404,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.5093883366279774,16.125666916454637,10.616278580630551
PODIA,72.0,2025,10015000,139097.2222,0,1,1,0,1,1,0,0,16,7,1608,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,False,False,True,False,4.276666119016055,16.119594527082057,11.84292840790624
Maspero Heights – Commercial  for Sale,724.0,2023,121123000,167296.9613,1,1,0,0,1,0,1,0,0,17,17,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,True,True,True,False,False,False,6.584791392385716,18.612317116170978,12.027525723630047
Alamain (Latin District),205.0,2025,13309000,64921.9512,1,1,0,0,1,0,1,0,1,6,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.3230099791384085,16.403951056068692,11.080941076629736
Mazarine Apartment,266.3,2022,17177000,64502.4409,1,1,0,1,1,1,0,0,8,171,171,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,False,5.584623492819887,16.659081837619162,11.074458345478673
New Garden City,267.0,2025,10823000,40535.5805,1,1,0,0,0,0,0,1,6,722,72264,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,5.58724865840025,16.197184057277283,10.60993539827646
Central,153.97,2025,33844000,219809.0537,1,1,0,1,0,0,0,1,5,6,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.036757778241827,17.33727228902653,12.30051451073119
Central,172.97,2025,37629000,217546.3953,1,1,0,1,0,0,0,1,6,4,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.153118169055832,17.44328558767492,12.290167418487302
Mazarine Apartment,252.0,2025,10863000,43107.1429,1,1,0,0,0,0,1,0,2,8,821,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.20087307741589,10.671443990898664
Al Fustat,166.16,2025,4564000,27467.5012,1,1,0,1,0,0,0,1,6,13,13,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.112951179567857,15.333709989964103,10.22075881026303
Mazarine Apartment,237.0,2025,13906000,58675.1055,1,1,0,0,0,0,0,1,5,13,1302,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.4680601411351315,16.4478309596411,10.97977081875766
Downtown commercial,182.0,2025,18692000,102703.2967,1,1,0,0,1,0,1,0,0,8,801,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False,False,False,False,False,False,5.204006687076795,16.743606182802456,11.53959949569356
Alamain (Latin District),92.86,2025,7064000,76071.5055,1,1,0,0,1,0,0,1,4,4,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.531092982591776,15.770522021265933,11.239429038777498
Latin City,191.0,2025,9932000,52000.0,0,1,0,0,1,0,0,1,7,3,303702,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.25227342804663,16.111272425610196,10.858998997563564
Maspero Business Tower Nile Heights,176.0,2023,11842000,67284.0909,1,1,0,0,1,1,0,0,10,10,1006,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,False,False,False,False,False,False,5.170483995038151,16.287163092073857,11.116679096900594
Central,116.14,2025,23115000,199027.0363,1,1,0,1,0,0,0,1,5,10,10,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,False,False,False,False,4.754796359943904,16.955992315404462,12.201195955282406
Alamain (Latin District),92.86,2025,4206000,45293.991,1,1,0,0,1,0,1,0,2,6,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.531092982591776,15.252022635244781,10.720929653665845
New Garden City,287.0,2025,12053000,41996.5157,1,1,0,0,0,0,0,1,6,722,722612,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,5.659482215759621,16.304824149570482,10.645341934300363
Mamsha Avenue,176.0,2025,6254000,35534.0909,1,1,0,0,1,0,1,0,2,15,15,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.170483995038151,15.648731816999923,10.478247821705935
New Garden City,269.0,2025,10893000,40494.4238,1,1,0,0,0,0,0,1,5,883,88353,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,5.594711379601839,16.20363093906458,10.608919559664708
Mazarine Apartment,206.32,2022,13355000,64729.5463,0,1,0,1,1,0,0,1,3,7,72,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.32942836157309,16.407401404526198,11.077973042400208
New Garden City,93.0,2025,4169000,44827.957,1,1,0,0,0,0,1,0,2,722,72227,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,4.532599493153256,15.243186756862935,10.710587263949543
Downtown commercial,266.0,2025,32889000,123642.8571,1,1,0,0,1,0,1,0,0,8,821,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False,True,True,False,False,False,5.583496308781699,17.308648813324787,11.725152504196467
Mazarine Apartment,231.0,2022,12956000,56086.5801,1,1,0,1,1,0,1,0,2,35,3511,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.442417710521793,16.377069559273355,10.934651848990836
Zahya,347.0,2024,11558000,33308.3573,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False,False,False,False,False,False,5.849324779946859,16.26288839585986,10.41356361445081
Latin City,214.0,2022,8488000,39663.5514,1,1,0,0,1,0,0,1,4,6,615401,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.365976015021851,15.954163959275956,10.588187944206979
Zahya,333.0,2025,10317000,30981.982,1,1,0,1,0,0,1,0,0,264,264,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False,False,False,True,False,False,5.808142489980444,16.149303578082513,10.341161088683634
PODIA,67.5,2025,17695000,262148.1481,0,1,1,0,1,0,1,0,1,7,106,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False,True,False,False,False,False,4.212127597878484,16.6887926717617,12.476665073699548
Zahya,345.0,2025,11541000,33452.1739,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False,False,False,False,False,False,5.84354441703136,16.26141647040254,10.417872052981268
Mazarine,301.0,2025,19165000,63671.0963,1,1,0,1,0,0,1,0,0,21,216,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,False,False,False,False,False,False,5.707110264748875,16.768596256796794,11.061485991333072
Mazarine Commercial,207.0,2025,22082000,106676.3285,1,1,0,0,1,0,1,0,1,3,311,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False,False,False,False,False,False,5.332718793265369,16.910273354981218,11.577554561693207
Mazarine Apartment,251.0,2022,13407000,53414.3426,1,1,0,1,1,0,1,0,2,34,3411,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.5254529391317835,16.411287516583698,10.885834576899963
Central,161.47,2025,26402000,163510.2496,1,1,0,1,0,0,1,0,2,10,10,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.08431936689353,17.088950322822843,12.004630956039607
Alamain (Latin District),175.88,2025,4714000,26802.3652,1,1,0,0,1,0,0,1,7,6,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.169801944312609,15.366047362478213,10.19624541633616
Latin City,207.0,2025,11072000,53487.9227,0,1,0,0,1,0,0,1,3,3,307302,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.332718793265369,16.21992995683959,10.88721116347487
Latin City,231.0,2022,7536000,32623.3766,1,1,0,1,1,0,0,1,3,6,660104,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.442417710521793,15.835202095238335,10.392784383999983
Latin City,206.0,2022,7326000,35563.1068,0,1,0,1,1,0,0,1,4,6,629402,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.327876168789581,15.806940222320897,10.479064053640515
PODIA,97.0,2025,13952000,143835.0515,0,1,1,0,1,1,0,0,17,7,1704,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,False,False,True,False,4.574710978503383,16.451133425130898,11.87642244630498
Beachfront Tower - B1,319.0,2025,46198000,144821.3166,0,0,0,0,1,1,0,0,24,1,1245,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.765191102784844,17.648447065071636,11.88325596218722
Maspero mall,124.0,2023,19193000,154782.2581,1,1,0,0,1,0,1,0,0,25,25,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False,True,False,False,False,False,4.820281565605037,16.770056187188015,11.949774621812228
Mazarine Apartment,230.0,2022,12844000,55843.4783,1,1,0,1,1,0,0,1,5,29,2941,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.438079308923196,16.368387334191542,10.930308025969062
Zahya,740.0,2025,25970000,35094.5946,1,1,0,1,0,0,1,0,0,75,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,True,False,True,True,False,False,6.606650186198215,17.07245258363893,10.46580239759474
Latin City,233.0,2022,8286000,35562.2318,1,1,0,0,1,0,1,0,0,6,630304,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.4510384535657,15.930077901619484,10.479039449188228
Alamain (Latin District),231.94,2025,7142000,30792.4463,1,1,0,0,1,0,1,0,2,12,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.446478717528557,15.781503407136531,10.335024688882967
Mazarine Apartment,231.0,2022,12533000,54255.4113,1,1,0,1,1,0,0,1,3,40,4031,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.442417710521793,16.34387572359366,10.901458013893697
Downtown Extension,173.0,2022,8329000,48144.5087,1,1,0,1,1,1,0,0,8,12,12,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.153291594497779,15.935253958917478,10.781962365032017
AlMaqsad Park,134.0,2025,4235000,31604.4776,1,1,0,0,1,0,1,0,0,54,54,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,False,4.897839799950911,15.258893886068291,10.361054085739577
Jade Park,380.0,2025,14811000,38976.3158,1,0,1,1,0,0,0,1,6,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.940171252720432,16.51088070590911,10.570709453458747
Mazarine Apartment,251.0,2022,14461000,57613.5458,0,1,0,1,1,0,0,1,6,36,3611,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.5254529391317835,16.48696592859693,10.96151298917471
Alamain (Latin District),132.81,2025,6743000,50771.7792,1,1,0,0,1,0,1,0,1,16,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.8889195354121595,15.724015487716718,10.835095951644913
Zahya,504.0,2024,11378000,22575.3968,1,1,0,1,0,0,1,0,0,3,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,True,False,False,False,False,False,6.222576268071369,16.24719222429273,10.024615955096383
Alamain (Latin District),235.85,2025,12088000,51252.915,1,1,0,0,1,0,0,1,5,3,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.463196009730271,16.307723782934712,10.84452777343194
Downtown Extension,173.0,2022,8485000,49046.2428,1,1,0,1,1,0,0,1,3,12,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.153291594497779,15.953810456650464,10.800518862671247
Downtown Extension,172.94,2022,8601000,49734.0118,1,1,0,1,1,0,1,0,0,11,11,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.152944713532285,15.967389033533616,10.814444320081789
Beachfront Tower - B1,318.0,2025,46512000,146264.1509,0,0,0,0,1,1,0,0,28,1,1284,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.762051382780177,17.655220901780794,11.89316951870392
Latin City,207.0,2025,10550000,50966.1836,0,1,0,0,1,0,1,0,2,423,423202,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.332718793265369,16.17163641788635,10.838917625113872
Alamain (Latin District),237.17,2025,8392000,35383.9018,1,1,0,0,1,0,1,0,1,2,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.468777183576803,15.942789429058271,10.474012244278654
Mazarine Apartment,252.0,2025,10508000,41698.4127,1,1,0,0,0,0,1,0,2,13,1322,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.167647429787568,10.638218342314211
Latin City,248.0,2022,10960000,44193.5484,0,1,0,1,1,0,1,0,0,6,615,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.5134287461649825,16.209762839484142,10.696334093611132
Mazarine Apartment,252.0,2025,12707000,50424.6032,1,1,0,0,0,0,0,1,5,13,1352,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.357663580686673,10.828234493678908
AlMaqsad Park,156.0,2025,5024000,32205.1282,1,1,0,0,1,0,1,0,2,11,1123,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.049856007249537,15.429736987130171,10.3798809797214
Mazarine Apartment,229.66,2022,25506000,111059.8276,0,1,0,1,1,0,0,1,4,7,72,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,True,False,False,False,5.436599954348043,17.054424276568984,11.61782432248033
