name,sqm,year_built,Price(EGP),Price/Sqm,has_main_facilities,has_security_features,has_parking_safety,has_building_facilities,has_other_features,HighFloor,LowFloor,MidFloor,FloorNumber,BuildingNumber,UnitNumber,has_modern,has_facilities,has_green_view,has_water_feature,Bedroom_0,Bedroom_1,Bedroom_2,Bedroom_3,Bedroom_above 3,Bathroom_0,Bathroom_1,Bathroom_2,Bathroom_above 2,city_Cairo,city_Mansoura,city_Mersa Matruh,city_New Administrative Capital,city_New Cairo,city_North Coast,city_Old Cairo,governorate_Alexandria,governorate_Cairo,governorate_Dakahlia,governorate_Matrouh,propertyCategory_Commercial,propertyCategory_Residential,propertySubType_Apartment (Residential - Multi-Story Units),propertySubType_Office,propertySubType_Others(very rare),propertySubType_Residential - Attached Houses,propertySubType_Retail,Is sqm outlier,Is Price/Sqm outlier,Is Price(EGP) outlier,Is BuildingNumber outlier,Is FloorNumber outlier,Is UnitNumber outlier,log(sqm),log(price),log(price/sqm)
Beachfront Tower - B1,217.0,2025,25915000,119423.9631,0,0,0,0,1,1,0,0,20,1,1203,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.37989735354046,17.070332509605944,11.690435155783794
AlMaqsad Park,134.0,2025,4438000,33119.403,1,1,0,0,1,0,0,1,7,47,4772,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,4.897839799950911,15.305714382474676,10.407874582974419
Central,172.97,2025,36501000,211025.0332,1,1,0,1,0,0,0,1,5,4,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.153118169055832,17.412850215437697,12.25973204617924
Beachfront Tower - B1,398.0,2025,66228000,166402.0101,0,0,0,0,1,1,0,0,10,1,1101,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,True,True,True,False,False,False,5.986452005284438,18.008613892209638,12.022161887224168
Zahya,350.5,2024,10544000,30082.7389,1,1,0,1,0,0,1,0,0,224,224,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False,False,False,True,False,False,5.859360706474645,16.171067535724426,10.311706827775009
Zahya,358.0,2025,11650000,32541.8994,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False,False,False,False,False,False,5.8805329864007,16.270816737975984,10.390283750304897
Central,211.89,2025,43465000,205130.0203,1,1,0,1,0,0,0,1,6,10,10,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.35606727208894,17.587466574495302,12.231399302437811
Mazarine Apartment,252.0,2025,13938000,55309.5238,1,1,0,0,0,0,0,1,5,12,1252,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.4501294809806,10.920700393296986
Al Fustat,159.47,2025,4134000,25923.3712,1,1,0,1,0,0,0,1,4,63,63,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,False,5.071855816759881,15.23475601922385,10.162900203737312
Mazarine Apartment,266.3,2022,17347000,65140.8186,1,1,0,1,1,1,0,0,8,17,171,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.584623492819887,16.668930138743544,11.084306645530507
